graph,nodes,edges,method,variant,batch,modularity,communities,passes,affected,time_s
com-dblp-5-10,317080,1049866,df,Static,0,0.819047,170,6,,0.473
com-dblp-5-10,317080,1049866,df,ND,1,0.777455,170,,,0.061
com-dblp-5-10,317080,1049866,df,DF,1,0.775103,170,,140294,0.043
com-dblp-5-10,317080,1049866,df,DS,1,0.777453,170,,317080,0.06
com-dblp-5-10,317080,1049866,df,ND,2,0.736199,170,,,0.042
com-dblp-5-10,317080,1049866,df,DF,2,0.734236,170,,138558,0.039
com-dblp-5-10,317080,1049866,df,DS,2,0.736205,170,,317072,0.041
com-dblp-5-10,317080,1049866,df,ND,3,0.698171,170,,,0.039
com-dblp-5-10,317080,1049866,df,DF,3,0.696713,170,,136753,0.038
com-dblp-5-10,317080,1049866,df,DS,3,0.698169,170,,317080,0.037
com-dblp-5-10,317080,1049866,df,ND,4,0.663144,170,,,0.05
com-dblp-5-10,317080,1049866,df,DF,4,0.661988,170,,135756,0.049
com-dblp-5-10,317080,1049866,df,DS,4,0.663148,170,,317074,0.053
com-dblp-5-10,317080,1049866,df,ND,5,0.630944,170,,,0.053
com-dblp-5-10,317080,1049866,df,DF,5,0.629953,170,,134391,0.051
com-dblp-5-10,317080,1049866,df,DS,5,0.630926,170,,317080,0.053
com-dblp-5-10,317080,1049866,networkit,rerun,0,0.820726,204,,,1.1844
com-dblp-5-10,317080,1049866,networkit,rerun,1,0.77259,1374,,,1.028
com-dblp-5-10,317080,1049866,networkit,rerun,2,0.731614,1832,,,0.8047
com-dblp-5-10,317080,1049866,networkit,rerun,3,0.691573,1936,,,1.0726
com-dblp-5-10,317080,1049866,networkit,rerun,4,0.657842,1872,,,0.8395
com-dblp-5-10,317080,1049866,networkit,rerun,5,0.625806,1720,,,1.4176
com-dblp-5-10,317080,1049866,cugraph,rerun,0,0.820237,326,,,1.4868
com-dblp-5-10,317080,1049866,cugraph,rerun,1,0.771534,1522,,,1.488
com-dblp-5-10,317080,1049866,cugraph,rerun,2,0.728923,1955,,,0.7566
com-dblp-5-10,317080,1049866,cugraph,rerun,3,0.689567,2147,,,1.2244
com-dblp-5-10,317080,1049866,cugraph,rerun,4,0.654819,2071,,,1.4121
com-dblp-5-10,317080,1049866,cugraph,rerun,5,0.624532,1923,,,1.688
com-dblp-5-2,317080,1049866,df,Static,0,0.815598,142,6,,0.294
com-dblp-5-2,317080,1049866,df,ND,1,0.811432,142,,,0.04
com-dblp-5-2,317080,1049866,df,DF,1,0.806791,142,,35924,0.02
com-dblp-5-2,317080,1049866,df,DS,1,0.811422,142,,316995,0.038
com-dblp-5-2,317080,1049866,df,ND,2,0.802997,142,,,0.022
com-dblp-5-2,317080,1049866,df,DF,2,0.798186,142,,35920,0.02
com-dblp-5-2,317080,1049866,df,DS,2,0.802973,142,,317006,0.021
com-dblp-5-2,317080,1049866,df,ND,3,0.794169,142,,,0.02
com-dblp-5-2,317080,1049866,df,DF,3,0.789605,142,,35817,0.019
com-dblp-5-2,317080,1049866,df,DS,3,0.794149,142,,316992,0.021
com-dblp-5-2,317080,1049866,df,ND,4,0.785372,142,,,0.019
com-dblp-5-2,317080,1049866,df,DF,4,0.781075,142,,35780,0.018
com-dblp-5-2,317080,1049866,df,DS,4,0.785369,142,,317021,0.018
com-dblp-5-2,317080,1049866,df,ND,5,0.776666,142,,,0.026
com-dblp-5-2,317080,1049866,df,DF,5,0.772748,142,,35683,0.026
com-dblp-5-2,317080,1049866,df,DS,5,0.776672,142,,317007,0.025
com-dblp-5-2,317080,1049866,networkit,rerun,0,0.820957,213,,,0.9268
com-dblp-5-2,317080,1049866,networkit,rerun,1,0.810304,505,,,0.8395
com-dblp-5-2,317080,1049866,networkit,rerun,2,0.800797,792,,,0.6364
com-dblp-5-2,317080,1049866,networkit,rerun,3,0.792221,1033,,,0.9028
com-dblp-5-2,317080,1049866,networkit,rerun,4,0.781873,1250,,,0.889
com-dblp-5-2,317080,1049866,networkit,rerun,5,0.773526,1441,,,1.0317
com-dblp-5-2,317080,1049866,cugraph,rerun,0,0.820237,326,,,1.4727
com-dblp-5-2,317080,1049866,cugraph,rerun,1,0.809652,634,,,0.7721
com-dblp-5-2,317080,1049866,cugraph,rerun,2,0.801048,914,,,1.5592
com-dblp-5-2,317080,1049866,cugraph,rerun,3,0.791478,1162,,,1.5594
com-dblp-5-2,317080,1049866,cugraph,rerun,4,0.781307,1394,,,1.3587
com-dblp-5-2,317080,1049866,cugraph,rerun,5,0.772706,1602,,,1.7324
com-dblp-5-20,317080,1049866,df,Static,0,0.819892,150,6,,0.382
com-dblp-5-20,317080,1049866,df,ND,1,0.733846,150,,,0.092
com-dblp-5-20,317080,1049866,df,DF,1,0.732729,150,,215499,0.075
com-dblp-5-20,317080,1049866,df,DS,1,0.733847,150,,317080,0.089
com-dblp-5-20,317080,1049866,df,ND,2,0.659557,150,,,0.075
com-dblp-5-20,317080,1049866,df,DF,2,0.658858,150,,212591,0.07
com-dblp-5-20,317080,1049866,df,DS,2,0.65956,150,,317080,0.073
com-dblp-5-20,317080,1049866,df,ND,3,0.596705,150,,,0.072
com-dblp-5-20,317080,1049866,df,DF,3,0.596174,150,,210147,0.067
com-dblp-5-20,317080,1049866,df,DS,3,0.596726,150,,317080,0.07
com-dblp-5-20,317080,1049866,df,ND,4,0.543167,150,,,0.07
com-dblp-5-20,317080,1049866,df,DF,4,0.542736,150,,207300,0.078
com-dblp-5-20,317080,1049866,df,DS,4,0.543185,150,,317080,0.087
com-dblp-5-20,317080,1049866,df,ND,5,0.497299,150,,,0.091
com-dblp-5-20,317080,1049866,df,DF,5,0.496855,150,,205298,0.086
com-dblp-5-20,317080,1049866,df,DS,5,0.497281,150,,317080,0.101
com-dblp-5-20,317080,1049866,networkit,rerun,0,0.820777,212,,,1.3144
com-dblp-5-20,317080,1049866,networkit,rerun,1,0.729577,1959,,,1.1373
com-dblp-5-20,317080,1049866,networkit,rerun,2,0.654841,1949,,,0.9497
com-dblp-5-20,317080,1049866,networkit,rerun,3,0.59321,1565,,,1.5206
com-dblp-5-20,317080,1049866,networkit,rerun,4,0.541282,1145,,,1.4092
com-dblp-5-20,317080,1049866,networkit,rerun,5,0.498166,809,,,1.7621
com-dblp-5-20,317080,1049866,cugraph,rerun,0,0.820237,326,,,1.4477
com-dblp-5-20,317080,1049866,cugraph,rerun,1,0.727091,2189,,,1.6113
