graph,nodes,edges,method,variant,batch,modularity,communities,passes,affected,time_s
ca-AstroPh,18771,198050,df,Static,0,0.622611,322,4,,0.208
ca-AstroPh,18771,198050,networkx,rerun,0,0.625448,328,,,4.653
ca-AstroPh,18771,198050,networkit,rerun,0,0.627398,325,,,0.0825
ca-AstroPh,18771,198050,cugraph,rerun,0,0.619396,488,,,0.3678
ca-GrQc,5241,14484,df,Static,0,0.859242,389,4,,0.241
ca-GrQc,5241,14484,networkx,rerun,0,0.861277,388,,,0.3781
ca-GrQc,5241,14484,networkit,rerun,0,0.862618,390,,,0.0057
ca-GrQc,5241,14484,cugraph,rerun,0,0.86033,412,,,0.1217
ca-HepPh,12006,118489,df,Static,0,0.659764,307,4,,0.206
ca-HepPh,12006,118489,networkx,rerun,0,0.658071,312,,,2.0354
ca-HepPh,12006,118489,networkit,rerun,0,0.65971,312,,,0.0256
ca-HepPh,12006,118489,cugraph,rerun,0,0.657619,327,,,0.1633
ca-HepTh,9875,25973,df,Static,0,0.755081,471,4,,0.194
ca-HepTh,9875,25973,networkx,rerun,0,0.766855,482,,,1.5759
ca-HepTh,9875,25973,networkit,rerun,0,0.769179,478,,,0.0161
ca-HepTh,9875,25973,cugraph,rerun,0,0.76204,513,,,0.1232
com-Youtube,1134890,2987624,df,Static,0,0.721861,5490,5,,3.223
com-Youtube,1134890,2987624,networkx,rerun,0,0.71604,7317,,,205.4332
com-Youtube,1134890,2987624,networkit,rerun,0,0.713686,12283,,,4.0028
com-Youtube,1134890,2987624,cugraph,rerun,0,0.723648,5102,,,3.4472
com-amazon,334863,925872,df,Static,0,0.925497,220,6,,0.242
com-amazon,334863,925872,networkx,rerun,0,0.92585,238,,,68.6868
com-amazon,334863,925872,networkit,rerun,0,0.926542,244,,,1.3091
com-amazon,334863,925872,cugraph,rerun,0,0.92484,311,,,0.7632
com-dblp,317080,1049866,df,Static,0,0.818992,167,6,,0.397
com-dblp,317080,1049866,networkx,rerun,0,0.822063,221,,,99.2294
com-dblp,317080,1049866,networkit,rerun,0,0.822648,257,,,1.7868
com-dblp,317080,1049866,cugraph,rerun,0,0.820237,326,,,1.452
email-Enron,36692,183831,df,Static,0,0.606764,1197,3,,0.24
email-Enron,36692,183831,networkx,rerun,0,0.612188,1219,,,5.6309
email-Enron,36692,183831,networkit,rerun,0,0.597591,1330,,,0.113
email-Enron,36692,183831,cugraph,rerun,0,0.618807,1279,,,0.4379
facebook,4039,88234,df,Static,0,0.834932,16,4,,0.24
facebook,4039,88234,networkx,rerun,0,0.834731,14,,,1.0783
facebook,4039,88234,networkit,rerun,0,0.834975,16,,,0.143
facebook,4039,88234,cugraph,rerun,0,0.834822,14,,,0.2116
web-Google,875713,4322051,df,Static,0,0.977379,3132,4,,0.532
web-Google,875713,4322051,networkx,rerun,0,0.977691,3148,,,240.6065
web-Google,875713,4322051,networkit,rerun,0,0.977667,3168,,,8.1431
web-Google,875713,4322051,cugraph,rerun,0,0.977017,3448,,,2.1539
