graph,nodes,edges,method,variant,batch,modularity,communities,passes,affected,time_s
CollegeMsg,1899,11070,df,Static,0,0.246179,289,3,,0.17
CollegeMsg,1899,11070,df,ND,1,0.25602,235,,,0.002
CollegeMsg,1899,11070,df,DF,1,0.248617,235,,415,0.001
CollegeMsg,1899,11070,df,DS,1,0.25647,235,,1675,0.002
CollegeMsg,1899,11070,df,ND,2,0.254122,185,,,0.001
CollegeMsg,1899,11070,df,DF,2,0.245415,186,,411,0.0
CollegeMsg,1899,11070,df,DS,2,0.253869,186,,1730,0.001
CollegeMsg,1899,11070,df,ND,3,0.250607,155,,,0.001
CollegeMsg,1899,11070,df,DF,3,0.241484,156,,354,0.001
CollegeMsg,1899,11070,df,DS,3,0.250374,154,,1763,0.001
CollegeMsg,1899,11070,df,ND,4,0.247017,99,,,0.0
CollegeMsg,1899,11070,df,DF,4,0.23734,107,,353,0.0
CollegeMsg,1899,11070,df,DS,4,0.246514,100,,1814,0.0
CollegeMsg,1899,11070,df,ND,5,0.246059,29,,,0.0
CollegeMsg,1899,11070,df,DF,5,0.235837,36,,389,0.0
CollegeMsg,1899,11070,df,DS,5,0.245275,30,,1887,0.001
CollegeMsg,1899,11070,networkx,rerun,0,0.256886,289,,,0.2729
CollegeMsg,1899,11070,networkx,rerun,1,0.249949,235,,,0.2296
CollegeMsg,1899,11070,networkx,rerun,2,0.256179,179,,,0.2888
CollegeMsg,1899,11070,networkx,rerun,3,0.251037,146,,,0.292
CollegeMsg,1899,11070,networkx,rerun,4,0.256264,94,,,0.2608
CollegeMsg,1899,11070,networkx,rerun,5,0.264183,13,,,0.2794
CollegeMsg,1899,11070,networkit,rerun,0,0.257149,290,,,0.0046
CollegeMsg,1899,11070,networkit,rerun,1,0.251561,235,,,0.004
CollegeMsg,1899,11070,networkit,rerun,2,0.260084,177,,,0.0037
CollegeMsg,1899,11070,networkit,rerun,3,0.256615,145,,,0.0037
CollegeMsg,1899,11070,networkit,rerun,4,0.248071,92,,,0.0037
CollegeMsg,1899,11070,networkit,rerun,5,0.249935,13,,,0.0056
CollegeMsg,1899,11070,cugraph,rerun,0,0.249983,31,,,0.1013
CollegeMsg,1899,11070,cugraph,rerun,1,0.25191,13,,,0.0663
CollegeMsg,1899,11070,cugraph,rerun,2,0.258523,14,,,0.0751
CollegeMsg,1899,11070,cugraph,rerun,3,0.252326,11,,,0.0984
CollegeMsg,1899,11070,cugraph,rerun,4,0.23726,32,,,0.0557
CollegeMsg,1899,11070,cugraph,rerun,5,0.246782,15,,,0.0623
sx-askubuntu,157222,364552,df,Static,0,0.460402,33293,3,,0.487
sx-askubuntu,157222,364552,df,ND,1,0.473441,27336,,,0.185
sx-askubuntu,157222,364552,df,DF,1,0.460093,27340,,11652,0.066
sx-askubuntu,157222,364552,df,DS,1,0.473453,27338,,127047,0.198
sx-askubuntu,157222,364552,df,ND,2,0.472356,21200,,,0.055
sx-askubuntu,157222,364552,df,DF,2,0.458886,21198,,12252,0.044
sx-askubuntu,157222,364552,df,DS,2,0.472471,21194,,133757,0.044
sx-askubuntu,157222,364552,df,ND,3,0.434568,14858,,,0.048
sx-askubuntu,157222,364552,df,DF,3,0.012952,14810,,12473,0.048
sx-askubuntu,157222,364552,df,DS,3,0.470192,14881,,140024,0.044
sx-askubuntu,157222,364552,df,ND,4,0.446742,8794,,,0.149
sx-askubuntu,157222,364552,df,DF,4,0.401013,8597,,9197,0.85
sx-askubuntu,157222,364552,df,DS,4,0.468292,8708,,146136,0.044
sx-askubuntu,157222,364552,df,ND,5,0.241305,2389,,,0.072
sx-askubuntu,157222,364552,df,DF,5,0.4116,2339,,12885,0.07
sx-askubuntu,157222,364552,df,DS,5,0.466216,2342,,152415,0.063
sx-askubuntu,157222,364552,networkx,rerun,0,0.460824,33132,,,29.677
sx-askubuntu,157222,364552,networkx,rerun,1,0.459881,27251,,,32.223
sx-askubuntu,157222,364552,networkx,rerun,2,0.465101,21164,,,32.6109
sx-askubuntu,157222,364552,networkx,rerun,3,0.465677,14830,,,32.9849
sx-askubuntu,157222,364552,networkx,rerun,4,0.464869,8638,,,32.3704
sx-askubuntu,157222,364552,networkx,rerun,5,0.467651,2273,,,29.8506
