1000 9925
0 20 2
0 101 1
0 125 10
0 127 6
0 270 4
0 291 9
0 298 10
0 369 6
0 395 6
0 428 4
0 482 10
0 519 9
0 599 9
0 638 3
0 685 5
0 883 10
0 957 10
1 29 8
1 37 10
1 136 6
1 171 2
1 177 10
1 188 8
1 394 2
1 411 2
1 432 9
1 741 10
1 810 3
1 839 10
1 877 8
1 964 6
1 981 5
2 56 2
2 118 9
2 126 5
2 128 1
2 132 1
2 159 8
2 227 4
2 336 4
2 432 10
2 522 8
2 549 2
2 569 1
2 574 1
2 593 3
2 643 9
2 741 9
2 754 2
2 761 7
2 831 9
2 930 10
2 996 5
3 217 1
3 221 4
3 323 1
3 339 5
3 383 9
3 416 6
3 527 1
3 665 7
3 722 8
3 749 1
3 776 7
3 811 3
3 854 6
3 877 7
3 976 3
4 48 4
4 86 5
4 116 9
4 167 8
4 223 4
4 275 4
4 365 4
4 370 3
4 374 8
4 378 3
4 406 4
4 466 6
4 512 10
4 516 5
4 657 5
4 721 10
4 735 1
4 745 3
4 751 8
4 853 6
4 952 4
5 30 3
5 41 8
5 48 2
5 123 5
5 144 8
5 249 7
5 266 6
5 297 2
5 376 4
5 416 8
5 445 10
5 521 3
5 621 9
5 623 1
5 645 7
5 736 5
5 749 6
5 900 7
5 988 4
6 49 1
6 122 3
6 278 10
6 332 2
6 382 2
6 557 2
6 662 10
6 763 9
6 780 9
6 782 7
6 807 8
6 869 4
6 942 10
6 966 9
7 140 9
7 210 7
7 215 1
7 248 7
7 251 7
7 274 6
7 279 4
7 338 6
7 391 5
7 427 9
7 454 8
7 593 4
7 626 5
7 691 10
7 748 3
7 762 7
7 785 6
7 893 2
7 927 6
7 945 4
7 987 10
8 27 5
8 62 9
8 67 4
8 105 4
8 185 8
8 264 8
8 322 6
8 353 4
8 415 10
8 443 2
8 540 4
8 658 6
8 748 4
8 821 7
8 883 10
8 922 10
8 924 10
8 975 5
9 38 2
9 132 9
9 200 8
9 220 2
9 237 3
9 239 5
9 292 10
9 304 9
9 388 7
9 466 10
9 528 2
9 579 4
9 669 6
9 699 9
9 758 3
9 766 6
9 832 2
9 860 2
9 864 8
9 905 7
10 117 8
10 216 3
10 366 9
10 455 4
10 497 6
10 512 10
10 579 9
10 624 9
10 649 2
10 684 5
10 738 6
10 833 8
10 836 10
10 878 2
10 903 10
10 980 6
11 40 4
11 108 1
11 155 9
11 217 3
11 225 2
11 236 6
11 356 3
11 448 4
11 522 4
11 594 4
11 672 6
11 709 10
11 711 4
11 777 6
11 836 2
11 942 5
11 975 1
12 19 6
12 194 7
12 274 3
12 322 1
12 437 3
12 442 3
12 657 1
12 696 3
12 724 9
12 750 4
12 784 5
12 785 7
12 803 9
12 820 5
12 855 7
12 894 10
12 926 1
12 965 5
13 21 5
13 101 7
13 111 5
13 174 1
13 177 3
13 179 3
13 223 3
13 319 8
13 386 1
13 412 1
13 468 10
13 474 6
13 604 8
13 635 8
13 775 7
13 798 9
13 828 8
13 838 7
13 915 2
14 15 5
14 23 10
14 117 6
14 136 8
14 232 9
14 290 1
14 386 1
14 394 7
14 439 1
14 517 2
14 523 8
14 593 2
14 712 8
14 758 2
14 788 6
14 803 9
14 927 6
14 948 3
14 999 3
15 69 2
15 148 9
15 151 8
15 198 2
15 235 1
15 370 5
15 381 10
15 405 10
15 468 1
15 542 9
15 662 8
15 687 5
15 706 6
15 710 8
15 886 1
