100 474
0 2 1
0 8 3
0 10 3
0 13 1
0 20 6
0 27 1
0 28 3
0 42 1
0 45 10
0 68 10
0 89 5
0 90 6
0 95 2
1 3 1
1 27 2
1 29 7
1 34 3
1 37 3
1 39 5
1 63 10
1 68 10
1 79 10
1 86 9
2 3 3
2 13 8
2 30 10
2 36 6
2 58 1
2 62 2
2 75 5
2 93 6
2 96 6
3 7 7
3 8 2
3 34 7
3 52 9
3 78 2
3 85 5
4 9 8
4 21 3
4 30 2
4 34 5
4 42 6
4 50 9
4 75 7
4 84 9
4 96 4
5 14 4
5 22 10
5 25 1
5 29 2
5 38 10
5 39 9
5 49 2
5 64 8
5 70 10
6 11 5
6 17 7
6 26 10
6 28 6
6 36 5
6 65 9
6 79 10
6 84 10
6 86 6
7 19 3
7 20 10
7 39 10
7 51 8
7 52 9
7 56 8
7 64 8
7 73 3
8 20 10
8 62 4
8 71 5
8 96 4
8 97 1
9 13 2
9 19 1
9 28 8
9 37 2
9 63 4
9 84 10
10 22 7
10 32 7
10 37 1
10 46 6
10 57 6
10 61 9
10 66 4
10 79 1
10 84 4
10 92 5
10 99 5
11 12 2
11 17 5
11 27 5
11 33 9
11 39 9
11 40 6
11 42 1
11 51 2
11 63 6
11 69 6
11 71 7
11 72 10
12 16 10
12 24 1
12 30 3
12 39 4
12 40 6
12 56 6
12 59 8
12 65 8
12 73 1
12 75 3
12 76 8
12 84 3
12 90 8
13 41 9
13 45 6
13 49 8
13 51 7
13 66 1
13 85 9
13 86 5
14 36 10
14 42 6
14 93 9
14 94 9
14 99 1
15 27 4
15 28 10
15 37 6
15 44 6
15 53 2
15 55 3
15 65 5
15 73 1
15 82 6
15 86 7
15 88 9
16 30 3
16 35 10
16 42 10
16 49 7
16 58 3
16 59 10
16 91 2
16 96 5
17 27 6
17 33 1
17 40 5
17 53 7
17 79 2
17 80 8
17 95 4
17 96 6
18 32 8
18 47 5
18 53 4
18 69 9
18 85 5
19 31 3
19 45 2
19 48 6
19 57 1
20 33 4
20 38 2
20 50 8
20 67 9
20 93 1
21 27 8
21 30 9
21 56 3
21 59 4
21 61 6
21 71 8
21 77 9
21 85 5
21 87 6
21 90 3
21 92 2
22 37 9
22 38 3
22 54 4
22 57 1
22 60 8
22 66 7
22 80 9
23 35 2
23 50 1
23 68 5
24 27 1
24 28 10
24 37 2
24 45 6
24 47 8
24 51 1
24 57 2
24 74 9
24 77 5
24 78 1
24 85 10
24 87 5
24 92 4
24 93 6
24 97 4
25 31 4
25 44 5
25 52 5
25 61 9
25 65 6
25 72 8
25 81 2
25 83 5
25 89 3
25 99 3
26 30 5
26 83 2
26 96 1
27 29 10
27 36 9
27 48 9
27 81 2
27 90 4
28 39 9
28 59 6
28 61 9
28 71 6
28 72 5
28 88 3
29 43 5
29 54 10
29 74 4
29 81 3
29 88 2
30 32 5
30 33 10
30 39 6
30 59 9
30 64 8
30 70 1
30 83 3
30 92 1
31 33 8
31 46 1
31 65 2
31 66 7
31 68 1
31 69 2
31 76 7
31 89 7
31 93 3
31 94 10
32 48 10
32 51 8
32 54 10
32 66 6
32 82 5
32 90 6
32 96 4
33 43 9
33 50 2
33 58 8
33 61 10
33 68 3
33 69 2
33 72 8
33 84 2
34 37 8
34 40 5
34 47 8
34 55 8
34 66 4
34 67 4
34 74 3
34 80 10
34 87 5
34 93 6
35 51 7
35 62 3
35 75 6
35 86 6
35 90 8
35 98 8
36 70 1
36 83 2
36 90 8
36 93 2
37 45 6
37 50 8
37 56 8
37 60 3
37 74 5
37 84 6
37 87 10
37 93 10
38 42 3
38 45 9
38 59 2
38 83 7
39 49 2
39 54 6
39 61 9
