graph,nodes,edges,method,variant,batch,modularity,communities,passes,affected,time_s
er_n10000_p0.005_b5_bp0.001,10000,250012,df,Static,0,0.074277,6,4,,0.265
er_n10000_p0.005_b5_bp0.001,10000,250012,df,ND,1,0.114938,6,,,0.183
er_n10000_p0.005_b5_bp0.001,10000,250012,df,DF,1,0.076059,6,,503,0.005
er_n10000_p0.005_b5_bp0.001,10000,250012,df,DS,1,0.10995,6,,10000,0.151
er_n10000_p0.005_b5_bp0.001,10000,250012,df,ND,2,0.117925,6,,,0.015
er_n10000_p0.005_b5_bp0.001,10000,250012,df,DF,2,0.077419,6,,522,0.007
er_n10000_p0.005_b5_bp0.001,10000,250012,df,DS,2,0.11466,6,,10000,0.021
er_n10000_p0.005_b5_bp0.001,10000,250012,df,ND,3,0.119583,6,,,0.011
er_n10000_p0.005_b5_bp0.001,10000,250012,df,DF,3,0.079112,6,,489,0.005
er_n10000_p0.005_b5_bp0.001,10000,250012,df,DS,3,0.117196,6,,10000,0.013
er_n10000_p0.005_b5_bp0.001,10000,250012,df,ND,4,0.120751,6,,,0.009
er_n10000_p0.005_b5_bp0.001,10000,250012,df,DF,4,0.080637,6,,538,0.004
er_n10000_p0.005_b5_bp0.001,10000,250012,df,DS,4,0.119106,6,,10000,0.011
er_n10000_p0.005_b5_bp0.001,10000,250012,df,ND,5,0.121694,6,,,0.009
er_n10000_p0.005_b5_bp0.001,10000,250012,df,DF,5,0.082368,6,,507,0.009
er_n10000_p0.005_b5_bp0.001,10000,250012,df,DS,5,0.120503,6,,10000,0.009
er_n10000_p0.005_b5_bp0.001,10000,250012,networkx,rerun,0,0.126959,8,,,4.9189
er_n10000_p0.005_b5_bp0.001,10000,250012,networkx,rerun,1,0.126623,9,,,5.0895
er_n10000_p0.005_b5_bp0.001,10000,250012,networkx,rerun,2,0.127068,8,,,5.3069
er_n10000_p0.005_b5_bp0.001,10000,250012,networkx,rerun,3,0.126852,8,,,4.9916
er_n10000_p0.005_b5_bp0.001,10000,250012,networkx,rerun,4,0.129743,6,,,4.6214
er_n10000_p0.005_b5_bp0.001,10000,250012,networkx,rerun,5,0.128463,7,,,4.493
er_n1000_p0.02_b5_bp0.001,1000,9925,df,Static,0,0.174537,13,4,,0.089
er_n1000_p0.02_b5_bp0.001,1000,9925,df,ND,1,0.19176,13,,,0.003
er_n1000_p0.02_b5_bp0.001,1000,9925,df,DF,1,0.174621,13,,18,0.001
er_n1000_p0.02_b5_bp0.001,1000,9925,df,DS,1,0.189526,13,,873,0.002
er_n1000_p0.02_b5_bp0.001,1000,9925,df,ND,2,0.193651,13,,,0.001
er_n1000_p0.02_b5_bp0.001,1000,9925,df,DF,2,0.175279,13,,24,0.0
er_n1000_p0.02_b5_bp0.001,1000,9925,df,DS,2,0.19268,13,,981,0.001
er_n1000_p0.02_b5_bp0.001,1000,9925,df,ND,3,0.194511,13,,,0.001
er_n1000_p0.02_b5_bp0.001,1000,9925,df,DF,3,0.175843,13,,24,0.001
er_n1000_p0.02_b5_bp0.001,1000,9925,df,DS,3,0.193435,13,,725,0.001
er_n1000_p0.02_b5_bp0.001,1000,9925,df,ND,4,0.195198,13,,,0.001
er_n1000_p0.02_b5_bp0.001,1000,9925,df,DF,4,0.176387,13,,20,0.001
er_n1000_p0.02_b5_bp0.001,1000,9925,df,DS,4,0.194355,13,,776,0.001
er_n1000_p0.02_b5_bp0.001,1000,9925,df,ND,5,0.196184,13,,,0.001
er_n1000_p0.02_b5_bp0.001,1000,9925,df,DF,5,0.177061,13,,20,0.001
er_n1000_p0.02_b5_bp0.001,1000,9925,df,DS,5,0.19493,13,,774,0.001
er_n1000_p0.02_b5_bp0.001,1000,9925,networkx,rerun,0,0.202503,8,,,0.1799
er_n1000_p0.02_b5_bp0.001,1000,9925,networkx,rerun,1,0.207212,8,,,0.1651
er_n1000_p0.02_b5_bp0.001,1000,9925,networkx,rerun,2,0.201288,9,,,0.1677
er_n1000_p0.02_b5_bp0.001,1000,9925,networkx,rerun,3,0.202903,8,,,0.2326
er_n1000_p0.02_b5_bp0.001,1000,9925,networkx,rerun,4,0.199845,9,,,0.1465
er_n1000_p0.02_b5_bp0.001,1000,9925,networkx,rerun,5,0.201175,11,,,0.205
er_n100_p0.10_b5_bp0.001,100,474,df,Static,0,0.252076,8,3,,0.11
er_n100_p0.10_b5_bp0.001,100,474,df,ND,1,0.261116,8,,,0.0
er_n100_p0.10_b5_bp0.001,100,474,df,DF,1,0.252375,8,,2,0.0
er_n100_p0.10_b5_bp0.001,100,474,df,DS,1,0.252882,8,,34,0.0
er_n100_p0.10_b5_bp0.001,100,474,df,ND,2,0.264011,8,,,0.001
er_n100_p0.10_b5_bp0.001,100,474,df,DF,2,0.252472,8,,2,0.0
er_n100_p0.10_b5_bp0.001,100,474,df,DS,2,0.255472,8,,30,0.001
er_n100_p0.10_b5_bp0.001,100,474,df,ND,3,0.266713,8,,,0.001
er_n100_p0.10_b5_bp0.001,100,474,df,DF,3,0.252134,8,,2,0.0
er_n100_p0.10_b5_bp0.001,100,474,df,DS,3,0.260493,8,,38,0.001
er_n100_p0.10_b5_bp0.001,100,474,df,ND,4,0.266947,8,,,0.001
er_n100_p0.10_b5_bp0.001,100,474,df,DF,4,0.254068,8,,0,0.001
er_n100_p0.10_b5_bp0.001,100,474,df,DS,4,0.262405,8,,0,0.001
er_n100_p0.10_b5_bp0.001,100,474,df,ND,5,0.269208,8,,,0.0
er_n100_p0.10_b5_bp0.001,100,474,df,DF,5,0.259387,8,,2,0.0
er_n100_p0.10_b5_bp0.001,100,474,df,DS,5,0.264514,8,,0,0.001
er_n100_p0.10_b5_bp0.001,100,474,networkx,rerun,0,0.272697,7,,,0.0067
er_n100_p0.10_b5_bp0.001,100,474,networkx,rerun,1,0.273799,7,,,0.0067
er_n100_p0.10_b5_bp0.001,100,474,networkx,rerun,2,0.268493,7,,,0.0062
er_n100_p0.10_b5_bp0.001,100,474,networkx,rerun,3,0.25865,7,,,0.0102
er_n100_p0.10_b5_bp0.001,100,474,networkx,rerun,4,0.263798,6,,,0.0059
er_n100_p0.10_b5_bp0.001,100,474,networkx,rerun,5,0.263201,7,,,0.0054
